# nodo,x,y,sx,txy
8,2.5,0.0,3720.9661822347252,-0.00010599997268845307
283,2.5,0.05833333333324179,3061.4591335147034,-28.983188535029313
284,2.5,0.1166666666664294,2417.7413007821738,-52.710743670940474
282,2.5,0.174999999999617,1789.5676297524788,-71.1794626158947
285,2.5,0.2333333333331128,1171.7918535591848,-84.38659542466905
286,2.5,0.2916666666665594,559.300809822651,-92.31873396594959
10,2.5,0.35,-48.1499820200307,-94.96818127851498
288,2.5,0.4083333333333078,-655.6836499279985,-92.36971497038346
289,2.5,0.4666666666665533,-1268.209774435168,-84.46878790204522
287,2.5,0.5249999999998732,-1885.964535822359,-71.2976583022279
290,2.5,0.5833333333332354,-2514.379423745596,-52.81470659174477
291,2.5,0.6416666666665178,-3158.1679820729205,-29.044639986113708
9,2.5,0.7,-3817.6856341003477,-0.001822293010482312
