0.000000000000000000e+00 0.000000000000000000e+00
-5.464132168747921333e-06 -1.123461653509682129e-05
-1.180178168126431595e-05 -2.118463258965519772e-05
-1.888696864822549833e-05 -2.989965133827829149e-05
-2.659867349776810289e-05 -3.742927595556928513e-05
-3.482083697548906705e-05 -4.382310961613134084e-05
-4.344236014444565326e-05 -4.913075549456764792e-05
-5.235710438515546087e-05 -5.340181676548137876e-05
-6.146389139559640578e-05 -5.668589660347570571e-05
-7.066650319120666962e-05 -5.903259818315380114e-05
-7.987368210488482174e-05 -6.049152467911884419e-05
-8.899913078698968368e-05 -6.111227926597398690e-05
-9.796151220534041724e-05 -6.094446511832243553e-05
-1.066844496452165381e-04 -6.003768541076735565e-05
-1.150965267093578343e-04 -5.844154331791193320e-05
-1.231312873179644886e-04 -5.620564201435932020e-05
-1.307272357086968883e-04 -5.337958467471268226e-05
-1.378278364366757611e-04 -5.001297447357523916e-05
-1.443815143744822292e-04 -4.615541458555012263e-05
-1.503416547121576600e-04 -4.185650818524054567e-05
-1.556666029572038293e-04 -3.716585844724964679e-05
-1.603196649345826766e-04 -3.213306854618062545e-05
-1.642691067867166040e-04 -2.680774165663663708e-05
-1.674881549734882316e-04 -2.123948095322089808e-05
-1.699549962722405878e-04 -1.547788961053653679e-05
-1.716527777777769462e-04 -9.572570803186749287e-06
-1.725696069023609886e-04 -3.573127705774702852e-06
-1.726985513757165879e-04 2.470836507096428027e-06
-1.720376392450280250e-04 8.509718660823451926e-06
-1.705898588749398264e-04 1.449391558080324772e-05
-1.683631589475568721e-04 2.037382409243261976e-05
-1.653704484624443692e-04 2.609984102110838889e-05
-1.616295967366278242e-04 3.162236319222737428e-05
-1.571634334045931788e-04 3.689178743118637984e-05
-1.519997484182864574e-04 4.185851056338228741e-05
-1.461712920471141739e-04 4.647292941421189754e-05
-1.397157748779431145e-04 5.068544080907203106e-05
-1.326758678151003924e-04 5.444644157335949529e-05
-1.250992020803734473e-04 5.770632853247112463e-05
-1.170383692130099509e-04 6.041549851180374672e-05
-1.085509210697180370e-04 6.252434833675420275e-05
-9.674778252307879268e-05 6.358644943589389397e-05
-8.472737844567313208e-05 6.315537323779422843e-05
-7.264150672595541037e-05 6.118151656785206086e-05
-6.064692556983978768e-05 5.761527625146417825e-05
-4.890535350070123198e-05 5.240704911402748275e-05
-3.758346935937465172e-05 4.550723198093876136e-05
-2.685291230415532272e-05 3.686622167759476715e-05
-1.689028181079911859e-05 2.643441502939248701e-05
-7.877137672521850015e-06 1.416220886172854868e-05
0.000000000000000000e+00 0.000000000000000000e+00
