# nodo,x,y,sx,txy
8,2.5,0.0,11296.32564895974,0.00010312385414046332
487,2.5,0.03333333333325362,9372.610564026063,-48.65183831913721
488,2.5,0.06666666666648206,7466.446649724011,-88.45752448286895
486,2.5,0.09999999999971049,5576.89979406413,-119.41711415686706
489,2.5,0.1333333333331715,3694.6842031286606,-141.53020720243168
490,2.5,0.1666666666666023,1819.9967043256536,-154.7975898869214
10,2.5,0.2,-49.01378233833714,-159.21347368392037
492,2.5,0.2333333333332098,-1918.0272836365966,-154.7917912630114
493,2.5,0.2666666666663542,-3792.6920167285216,-141.52395993055558
491,2.5,0.2999999999994987,-5674.906028819544,-119.40613749194523
494,2.5,0.3333333333329971,-7564.470270601139,-88.45715290402171
495,2.5,0.3666666666665423,-9470.59937149073,-48.6521469052805
9,2.5,0.4,-11394.279590549118,0.011765454228622296
