Punto,Uy (Tensión plana) [mm],Uy (Paper) [mm],Error Uy paper [%]
1,-0.6507549388562655,-0.614752370905351,5.5324309968650915
2,-0.6484817406419797,-0.6125414780746292,5.542216582963554
3,-0.3697217124114344,-0.3689010238810548,0.22197466441093477
