# nodo,x,y,ux,uy,x_d,y_d
8,2.5,0.0,-6.600631125405849e-06,-0.00016519446159535693,2.4999933993688748,-0.00016519446159535693
267,2.5,0.04999999999990524,-6.001998342671707e-06,-0.00016572496495368498,2.4999939980016572,0.04983427503495155
268,2.5,0.09999999999980133,-5.436050557432447e-06,-0.00016620375696258205,2.4999945639494427,0.09983379624283875
264,2.5,0.1499999999996568,-4.899722170902553e-06,-0.0001666359843609355,2.499995100277829,0.14983336401529587
269,2.5,0.1999999999995169,-4.389971627045309e-06,-0.00016702619211505547,2.499995610028373,0.19983297380740184
270,2.5,0.2499999999993771,-3.903624340148141e-06,-0.0001673781601255341,2.49999609637566,0.24983262183925156
265,2.5,0.2999999999992372,-3.4375070645148507e-06,-0.00016769566508052588,2.4999965624929357,0.2998323043341567
271,2.5,0.3499999999993304,-2.9884395288579434e-06,-0.00016798245321772038,2.4999970115604713,0.3498320175461127
272,2.5,0.3999999999994471,-2.553287508172717e-06,-0.00016824075073398355,2.499997446712492,0.3998317592487131
266,2.5,0.4499999999995921,-2.128932351955476e-06,-0.00016847275309303262,2.4999978710676483,0.4498315272464991
273,2.5,0.4999999999997655,-1.71226445061865e-06,-0.00016868065768603632,2.4999982877355493,0.49983131934207947
274,2.5,0.5499999999998566,-1.3003724336363485e-06,-0.00016886584288221157,2.4999986996275663,0.5498311341569744
10,2.5,0.6,-8.903023615747014e-07,-0.00016902904701369996,2.4999991096976384,0.5998309709529863
278,2.5,0.6499999999998035,-4.791006715227395e-07,-0.00016917085181055526,2.4999995208993284,0.649830829147993
279,2.5,0.6999999999995041,-6.418893206661347e-08,-0.00016929120880444491,2.499999935811068,0.6998307087906996
275,2.5,0.7499999999991886,3.5718971462215756e-07,-0.00016938956548334224,2.5000003571897147,0.7498306104337054
280,2.5,0.7999999999990981,7.877410984493745e-07,-0.00016946492536427387,2.5000007877410986,0.7998305350737338
281,2.5,0.8499999999991728,1.2298418863997906e-06,-0.00016951555780933645,2.5000012298418866,0.8498304844413634
276,2.5,0.8999999999991544,1.6859209754611154e-06,-0.00016953931479704002,2.5000016859209753,0.8998304606843573
282,2.5,0.9499999999992756,2.158475676786228e-06,-0.00016953395374617376,2.500002158475677,0.9498304660455295
283,2.5,0.999999999999494,2.649998955173333e-06,-0.00016949583010135417,2.5000026499989554,0.9998305041693926
277,2.5,1.049999999999673,3.16294526685249e-06,-0.0001694211393669859,2.500003162945267,1.049830578860306
284,2.5,1.099999999999727,3.6994660530042465e-06,-0.00016930575065365154,2.500003699466053,1.0998306942490734
285,2.5,1.149999999999913,4.2621758175876514e-06,-0.00016914461082536637,2.5000042621758176,1.1498308553890877
9,2.5,1.2,4.85382261501787e-06,-0.00016893219699780265,2.500004853822615,1.1998310678030022
