# nodo,x,y,sx,txy
8,2.5,0.0,1302.1911847419235,0.006857118581304444
267,2.5,0.04999999999990524,1171.4936093858983,-10.3996129230084
268,2.5,0.09999999999980133,1045.3454538868966,-19.868365592407176
264,2.5,0.1499999999996568,923.7982231276234,-28.3904747821823
269,2.5,0.1999999999995169,805.5604350383765,-35.95812643485573
270,2.5,0.2499999999993771,690.68012949546,-42.51903303384919
265,2.5,0.2999999999992372,579.4671508669022,-48.094829488048866
271,2.5,0.3499999999993304,470.8584563301547,-52.676688953540655
272,2.5,0.3999999999994471,363.7750223309464,-56.28264995035623
266,2.5,0.4499999999995921,258.53510825867914,-58.90836106962388
273,2.5,0.4999999999997655,155.23202185675632,-60.62577253033527
274,2.5,0.5499999999998566,52.42402790640702,-61.42711681094825
10,2.5,0.6,-49.85678587134402,-61.33379504492577
278,2.5,0.6499999999998035,-151.67357842787354,-60.351305541812906
279,2.5,0.6999999999995041,-253.9684198833778,-58.55943852598024
275,2.5,0.7499999999991886,-356.8101015470723,-55.97382888795201
280,2.5,0.7999999999990981,-460.87742975821254,-52.59821416505244
281,2.5,0.8499999999991728,-566.7652764654384,-48.52228943486625
276,2.5,0.8999999999991544,-674.4024616796754,-43.73244331242908
282,2.5,0.9499999999992756,-784.6146832330425,-38.224562183199666
283,2.5,0.999999999999494,-898.3393969148772,-32.019001937774334
277,2.5,1.049999999999673,-1015.4471627383963,-25.126746651116232
284,2.5,1.099999999999727,-1136.5533995006247,-17.54587847065967
285,2.5,1.149999999999913,-1262.491031156398,-9.172146704443547
9,2.5,1.2,-1393.2846460869198,-0.03343616939870442
