Punto,Uy (Tensión plana) [mm],Uy (Paper) [mm],Error Uy paper [%]
1,-0.18978352425813882,-0.16893219699780265,10.986900650013599
2,-0.18588888854385313,-0.16519446159535692,11.132686364744272
3,-0.12735722502732247,-0.14327007572415804,12.494658778425581
