Punto,Uy (Tensión plana) [mm],Uy (Paper) [mm],Error Uy paper [%]
1,-2.935541931447263,-2.868041759478922,2.2994109280211408
2,-2.9342424957329776,-2.866781159089449,2.2991057058723583
3,-1.492256564678685,-1.459002101677134,2.228468199683303
